views,score,name,summary
281664人评价,8.5,蝙蝠侠：黑暗骑士崛起 / The Dark Knight Rises / 蝙蝠侠前传3：黑暗骑士崛起  /  黑暗骑士：黎明升起(台),175,诺兰就是保证。
79895人评价,8.8,地球上的星星 / Taare Zameen Par / 心中的小星星(台)  /  每一个孩子都是特别的,176,天使保护事件始末。
280424人评价,8.3,秒速5厘米 / 秒速5センチメートル / 秒速五厘米  /  秒速5公分,177,青春就是放弃和怀念。
152157人评价,8.5,谍影重重2 / The Bourne Supremacy / 叛谍追击2：机密圈套(港)  /  神鬼认证：神鬼疑云(台),178,谁说王家卫镜头很晃？
302555人评价,8.3,恐怖游轮 / Triangle / 汪洋血迷宮(台)  /  轮回三角,179,不要企图在重复中寻找已经失去的爱。
88874人评价,8.8,未麻的部屋 / Perfect Blue / 蓝色的恐惧  /  蓝色恐惧,180,好的剧本是，就算你猜到了结局也猜不到全部。
183580人评价,8.5,谍影重重 / The Bourne Identity / 叛谍追击(港)  /  神鬼认证(台),181,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
160470人评价,8.6,海盗电台 / The Boat That Rocked / 出位乐人谷(港)  /  海盗电波,182,生命不止，摇滚不死。
224016人评价,8.6,爆裂鼓手 / Whiplash / 鼓动真我(港)  /  进击的鼓手(台),183,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
171037人评价,8.5,阿飞正传 / 阿飛正傳 / Days of Being Wild,184,王家卫是一种风格，张国荣是一个代表。
159518人评价,8.6,达拉斯买家俱乐部 / Dallas Buyers Club / 续命枭雄(港)  /  药命俱乐部(台),185,Jared Leto的腿比女人还美！
